"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"12","-1.74 (1.14, CI: -3.97, 0.49)","-2.5 (1.07, CI: -4.61, -0.39)","-3.24 (1.18, CI: -5.56, -0.93)","-3.95 (1.33, CI: -6.56, -1.35)","-4.68 (1.51, CI: -7.63, -1.72)","-5.48 (1.7, CI: -8.8, -2.15)","-6.34 (1.87, CI: -10.01, -2.67)","-7.14 (2.05, CI: -11.16, -3.13)","-7.73 (2.25, CI: -12.14, -3.32)","-7.97 (2.47, CI: -12.82, -3.12)","-7.87 (2.72, CI: -13.21, -2.54)","-7.52 (3.02, CI: -13.43, -1.61)","-6.99 (3.36, CI: -13.56, -0.41)","-68.79 (21.45, CI: -110.83, -26.75)","7.76",NA,""
"91","0.18 (0.24, CI: -0.29, 0.64)","-3.92 (0.28, CI: -4.43, -3.34)","-7.83 (0.47, CI: -8.74, -6.88)","-11.39 (0.65, CI: -12.67, -10.11)","-14.48 (0.82, CI: -16.12, -12.9)","-17.12 (0.98, CI: -19.01, -15.17)","-19.32 (1.11, CI: -21.53, -17.17)","-21.09 (1.21, CI: -23.69, -18.94)","-22.54 (1.29, CI: -25.16, -20.1)","-23.68 (1.37, CI: -26.49, -21.13)","-24.58 (1.42, CI: -27.52, -21.93)","-25.3 (1.47, CI: -28.22, -22.45)","-25.89 (1.56, CI: -29.1, -22.99)","-204.14 (11.54, CI: -226.79, -181.54)","0.23",NA,"Yes"
"140","0.04 (0.2, CI: -0.36, 0.4)","-0.69 (0.22, CI: -1.11, -0.27)","-1.3 (0.36, CI: -1.99, -0.6)","-1.7 (0.48, CI: -2.66, -0.79)","-1.86 (0.57, CI: -3.02, -0.78)","-1.9 (0.68, CI: -3.28, -0.63)","-2.02 (0.76, CI: -3.51, -0.53)","-2.26 (0.83, CI: -3.77, -0.53)","-2.51 (0.88, CI: -4.18, -0.72)","-2.63 (0.95, CI: -4.47, -0.74)","-2.56 (1.01, CI: -4.5, -0.55)","-2.29 (1.07, CI: -4.33, -0.11)","-1.92 (1.17, CI: -4.24, 0.32)","-22.67 (7.84, CI: -37.82, -7.07)","0.17",NA,"Yes"
"115","0.19 (0.24, CI: -0.29, 0.66)","-3.89 (0.27, CI: -4.42, -3.35)","-7.79 (0.46, CI: -8.73, -6.92)","-11.34 (0.64, CI: -12.62, -10.13)","-14.44 (0.79, CI: -16, -12.89)","-17.06 (0.96, CI: -18.92, -15.16)","-19.25 (1.1, CI: -21.37, -17.08)","-21.03 (1.18, CI: -23.32, -18.69)","-22.45 (1.27, CI: -24.89, -19.89)","-23.57 (1.36, CI: -26.3, -20.97)","-24.47 (1.42, CI: -27.17, -21.59)","-25.22 (1.48, CI: -28.23, -22.41)","-25.83 (1.56, CI: -29.06, -22.92)","-203.15 (11.26, CI: -225.3, -181.18)","0.23",NA,"Yes"
"68","0.04 (0.2, CI: -0.36, 0.4)","-0.71 (0.23, CI: -1.12, -0.24)","-1.35 (0.37, CI: -2.09, -0.64)","-1.77 (0.5, CI: -2.75, -0.8)","-1.94 (0.6, CI: -3.07, -0.71)","-2.02 (0.73, CI: -3.33, -0.49)","-2.14 (0.81, CI: -3.63, -0.44)","-2.37 (0.86, CI: -4.06, -0.68)","-2.62 (0.92, CI: -4.37, -0.76)","-2.74 (0.98, CI: -4.59, -0.73)","-2.65 (1.04, CI: -4.66, -0.58)","-2.38 (1.1, CI: -4.56, -0.25)","-2.01 (1.17, CI: -4.33, 0.26)","-23.59 (8.08, CI: -39.42, -7.74)","0.17",NA,"Yes"
"67","0.19 (0.24, CI: -0.26, 0.67)","-3.89 (0.27, CI: -4.44, -3.36)","-7.79 (0.46, CI: -8.76, -6.96)","-11.34 (0.63, CI: -12.51, -10.04)","-14.42 (0.78, CI: -15.96, -12.89)","-17.05 (0.94, CI: -18.9, -15.21)","-19.24 (1.07, CI: -21.5, -17.3)","-21.03 (1.16, CI: -23.41, -18.87)","-22.46 (1.22, CI: -24.96, -20.18)","-23.61 (1.29, CI: -26.24, -21.2)","-24.52 (1.34, CI: -27.28, -22.05)","-25.23 (1.41, CI: -27.94, -22.42)","-25.83 (1.49, CI: -28.92, -23.09)","-203.3 (10.94, CI: -224.68, -181.79)","0.23",NA,"Yes"
"110","0.03 (0.29, CI: -0.56, 0.58)","-0.71 (0.27, CI: -1.22, -0.16)","-1.32 (0.36, CI: -2.04, -0.64)","-1.72 (0.43, CI: -2.61, -0.92)","-1.85 (0.5, CI: -2.81, -0.85)","-1.88 (0.61, CI: -3.05, -0.66)","-1.95 (0.71, CI: -3.36, -0.56)","-2.16 (0.79, CI: -3.75, -0.64)","-2.42 (0.91, CI: -4.26, -0.68)","-2.58 (1.04, CI: -4.75, -0.66)","-2.56 (1.14, CI: -5.02, -0.57)","-2.41 (1.22, CI: -4.8, -0.03)","-2.19 (1.32, CI: -4.81, 0.38)","-22.63 (8, CI: -37.54, -6.18)","0.53",NA,"Yes"
"25","0.07 (0.42, CI: -0.74, 0.91)","-4.13 (0.4, CI: -4.88, -3.3)","-8 (0.49, CI: -8.96, -7.02)","-11.32 (0.58, CI: -12.43, -10.15)","-14.18 (0.7, CI: -15.52, -12.78)","-16.72 (0.83, CI: -18.33, -15.07)","-18.96 (0.96, CI: -20.84, -17.08)","-20.9 (1.11, CI: -23.02, -18.68)","-22.49 (1.26, CI: -24.91, -19.97)","-23.73 (1.4, CI: -26.4, -20.89)","-24.63 (1.54, CI: -27.62, -21.58)","-25.26 (1.67, CI: -28.43, -21.88)","-25.74 (1.82, CI: -29.16, -22.03)","-203.11 (11.45, CI: -224.31, -179.41)","2.35",NA,"Yes"
"62","0.04 (0.28, CI: -0.52, 0.6)","-0.71 (0.26, CI: -1.23, -0.2)","-1.34 (0.37, CI: -2.06, -0.62)","-1.74 (0.44, CI: -2.59, -0.86)","-1.88 (0.5, CI: -2.85, -0.88)","-1.9 (0.61, CI: -3.05, -0.66)","-1.99 (0.72, CI: -3.35, -0.53)","-2.21 (0.8, CI: -3.72, -0.58)","-2.47 (0.91, CI: -4.31, -0.76)","-2.64 (1.02, CI: -4.64, -0.62)","-2.64 (1.12, CI: -4.96, -0.56)","-2.48 (1.21, CI: -4.93, -0.19)","-2.24 (1.31, CI: -4.97, 0.18)","-23.05 (7.98, CI: -38.91, -7.63)","0.53",NA,"Yes"
"139","0.18 (0.25, CI: -0.27, 0.71)","-3.89 (0.29, CI: -4.46, -3.32)","-7.8 (0.48, CI: -8.78, -6.88)","-11.36 (0.66, CI: -12.73, -10.14)","-14.44 (0.82, CI: -16.19, -12.97)","-17.07 (0.98, CI: -19.17, -15.33)","-19.25 (1.11, CI: -21.6, -17.24)","-21.04 (1.21, CI: -23.55, -18.81)","-22.47 (1.3, CI: -25.22, -20.12)","-23.62 (1.37, CI: -26.54, -21.16)","-24.52 (1.43, CI: -27.35, -21.74)","-25.25 (1.49, CI: -28.29, -22.43)","-25.86 (1.56, CI: -28.93, -22.79)","-203.5 (11.53, CI: -226.34, -181.15)","0.23",NA,"Yes"
