"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
21,"MTD.titeet",35.7,45.8,14.4,3,0.4,1.3
21,"OBD.titeet",61.2,25.3,9.2,2.4,0.5,
21,"MTD.tite12",14.4,39.5,27.3,11.1,4.5,3.08
21,"OBD.tite12",57,25.8,10,3.3,0.8,
21,"MTD.bfet",,,,,,1.7
21,"OBD.bfet",72,21.3,4.2,0.6,0,
8,"MTD.ours0",4.66,15.36,32.88,32.24,14.68,0.18
8,"OBD.ours0",43.84,28.68,17.5,8.26,1.52,
8,"MTD.bf",4.36,15.8,34.28,31.96,13.5,0.1
8,"OBD.bf",42.1,29.12,18.66,7.88,2.1,
8,"MTD.ours1",4.94,15.76,32.4,31.84,14.9,0.16
8,"OBD.ours1",42.48,28.82,18.28,8.58,1.64,
8,"MTD.ours2",5,16.44,32.52,32,13.76,0.28
8,"OBD.ours2",43.46,30.24,16.44,8.12,1.44,
8,"MTD.ours3",4.62,16,31.72,31.9,15.64,0.12
8,"OBD.ours3",41.24,28.46,18.9,9.2,2,
8,"MTD.titeet",16.9,29.6,32,16.7,4.7,0.1
8,"OBD.titeet",45.5,27.3,16,8.3,2.8,
8,"MTD.tite12",1.4,17.4,34.6,26.5,19.8,0.34
8,"OBD.tite12",38.8,28.4,18.9,10.4,3.2,
8,"MTD.bfet",,,,,,0.2
8,"OBD.bfet",43.8,27.1,18.4,8.7,1.8,
15,"MTD.ours0",1.86,22.02,52.12,20.36,3.58,0.06
15,"OBD.ours0",14.92,21.42,51.78,7.02,1.12,
15,"MTD.bf",1.5,22.14,52.28,20.08,4,0
15,"OBD.bf",15.28,21.9,51.46,7.88,1.24,
15,"MTD.ours1",1.94,21.2,51.98,20.42,4.4,0.06
15,"OBD.ours1",15.14,20.18,51.02,8.1,1.14,
15,"MTD.ours2",2.3,21.8,52.94,18.84,4.08,0.04
15,"OBD.ours2",15.6,20.22,51.2,7.64,1.08,
15,"MTD.ours3",1.44,22.24,50.9,21.56,3.86,0
15,"OBD.ours3",15.28,20.4,50.32,9.06,1.16,
15,"MTD.titeet",1.1,20,55.6,19.8,3.5,1.9
15,"OBD.titeet",19.2,16.4,44.2,14.7,3.5,
15,"MTD.tite12",0.4,12.2,40.5,27.9,16,2.96
15,"OBD.tite12",19.5,18,43.6,11.8,4.2,
15,"MTD.bfet",,,,,,2.4
15,"OBD.bfet",18.1,19.3,49.8,9.1,1.3,
10,"MTD.ours0",1,6.4,23.88,30.66,38.06,0
10,"OBD.ours0",5.16,44.66,26.4,16.8,6.76,
10,"MTD.bf",0.94,6.94,23.04,32,37.08,0
10,"OBD.bf",5.72,44.4,26.76,16.24,6.76,
10,"MTD.ours1",1.24,6.84,22.44,29.54,39.92,0.02
10,"OBD.ours1",5.48,43.34,26.06,17.3,7.4,
10,"MTD.ours2",1.28,6.86,22.38,31.68,37.76,0.04
10,"OBD.ours2",5.58,44.34,25,16.74,8,
10,"MTD.ours3",1,6.72,23.5,30.62,38.16,0
10,"OBD.ours3",6.36,42.24,26.66,17.32,7.24,
10,"MTD.titeet",0.3,21.6,35.3,26.2,16.6,0.3
10,"OBD.titeet",11.7,42.3,24.8,14.4,6.5,
10,"MTD.tite12",0.1,5.6,20.6,30.4,42.9,0.44
10,"OBD.tite12",8.5,38.2,24.1,19,9.8,
10,"MTD.bfet",,,,,,0.8
10,"OBD.bfet",6.3,42.1,27.3,16.9,6.6,
12,"MTD.ours0",3.06,34.3,44.58,14.46,3.6,0
12,"OBD.ours0",17.04,58.8,19.3,3.44,0.44,
12,"MTD.bf",2.7,34.6,45.16,14.54,3,0
12,"OBD.bf",15.6,57.24,21.7,4.16,0.76,
12,"MTD.ours1",2.7,34.24,43.96,15.34,3.76,0
12,"OBD.ours1",16.58,57.16,20.38,4,0.9,
12,"MTD.ours2",3,34.14,45.14,14.66,3.06,0
12,"OBD.ours2",17.44,56.56,20.42,4.04,0.54,
12,"MTD.ours3",2.62,33.9,44.28,15.88,3.32,0
12,"OBD.ours3",16.36,55.14,21.66,5.08,0.86,
12,"MTD.titeet",2.1,40.4,41.1,13.7,2.6,1.3
12,"OBD.titeet",20.6,46.6,21.3,8.4,1.8,
12,"MTD.tite12",0.9,21.8,37.3,24.4,13.8,1.82
12,"OBD.tite12",20.5,44.4,22.3,8.5,2.5,
12,"MTD.bfet",,,,,,1.1
12,"OBD.bfet",18.2,55.1,20.3,4.5,0.8,
16,"MTD.ours0",0.04,2.44,18.92,55.26,23.34,0
16,"OBD.ours0",4.54,12.08,21.8,50.88,8.2,
16,"MTD.bf",0.14,2.68,17.92,56.2,23.06,0
16,"OBD.bf",7.8,11.92,19.62,50.62,8.94,
16,"MTD.ours1",0.08,2.32,19.1,53.1,25.4,0
16,"OBD.ours1",4.86,13.1,19.64,50.2,9.3,
16,"MTD.ours2",0.16,2.3,19.48,54.3,23.76,0
16,"OBD.ours2",5.06,13.38,19.46,50.72,8.2,
16,"MTD.ours3",0.16,2.24,18.2,54.94,24.46,0
16,"OBD.ours3",4.38,12.68,18.56,51.2,10.4,
16,"MTD.titeet",0.1,2.1,18.8,59.7,19.3,0.5
16,"OBD.titeet",11.9,15.6,15,42.3,14.7,
16,"MTD.tite12",0,1.9,14.5,39.6,42.8,1.18
16,"OBD.tite12",11.7,15.5,16.6,41.7,13.2,
16,"MTD.bfet",,,,,,1
16,"OBD.bfet",9.6,12,17,51,9.4,
17,"MTD.ours0",3.24,35.1,43.92,14.46,3.26,0.02
17,"OBD.ours0",55.48,29.7,12.06,2.2,0.38,
17,"MTD.bf",2.76,34.9,44.44,15.06,2.84,0
17,"OBD.bf",51.4,31.22,13.56,3.18,0.6,
17,"MTD.ours1",2.56,34.72,44.72,14.64,3.32,0.04
17,"OBD.ours1",54.74,30.84,11.04,2.68,0.54,
17,"MTD.ours2",2.92,33.98,43.54,16.14,3.42,0
17,"OBD.ours2",53.5,31.2,12.2,2.56,0.38,
17,"MTD.ours3",2.64,34.1,44.24,15.92,3.1,0
17,"OBD.ours3",53.68,29.04,12.96,3.66,0.52,
17,"MTD.titeet",11.7,39.5,35.3,11,2.4,0.1
