"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
40,"ours0.s2",0,0.01,0.13,0.46,0.33,0.92,-1,0,0.77
40,"ours0.total",8.94,12.2,11.8,8.99,4.79,46.72,-1,5.79,34.21
40,"bf.s1",7.88,12.2,12.07,8.93,4.43,45.5,-1,0,33.42
40,"bf.s2",0,0,0,0,0,0,-1,0,0
40,"bf.total",7.88,12.2,12.07,8.93,4.43,45.5,-1,5.88,33.42
40,"ours1.s1",8.93,12.06,11.44,8.36,4.55,45.33,-1,0,26.96
40,"ours1.s2",0.01,0.02,0.21,0.63,0.37,1.23,-1,0,1.02
40,"ours1.total",8.93,12.07,11.65,8.99,4.92,46.57,-1,5.79,27.98
40,"ours2.s1",8.94,12.06,11.44,8.29,4.39,45.13,-1,0,27.37
40,"ours2.s2",0,0.02,0.2,0.56,0.4,1.18,-1,0,0.99
40,"ours2.total",8.94,12.08,11.64,8.86,4.79,46.31,-1,5.76,28.36
40,"ours3.s1",8.86,12.07,11.49,8.41,4.55,45.38,-1,0,27.36
40,"ours3.s2",0,0,0,0,0,0,-1,0,0
40,"ours3.total",8.86,12.07,11.49,8.41,4.55,45.38,-1,5.75,27.36
40,"titeet",5.2,11.4,7.4,4.1,1.9,30,-1,3.5,23.67
40,"tite12",4.1,6.7,6,5.2,3.4,25.4,-1,3.4,22.06
40,"bfet",7.09,10.99,10.76,7.89,4.59,41.32,-1,5.17,23.1
30,"ours0.s1",8.9,12.19,11.57,8.44,4.35,45.45,-1,0,33.42
30,"ours0.s2",0,0,0.17,0.54,0.44,1.15,-1,0,1.02
30,"ours0.total",8.9,12.2,11.75,8.98,4.79,46.61,-1,5.78,34.44
30,"bf.s1",7.88,12.2,12.07,8.93,4.43,45.5,-1,0,33.42
30,"bf.s2",0,0,0,0,0,0,-1,0,0
30,"bf.total",7.88,12.2,12.07,8.93,4.43,45.5,-1,5.88,33.42
30,"ours1.s1",8.88,12.07,11.5,8.43,4.56,45.44,-1,0,26.99
30,"ours1.s2",0,0.02,0.25,0.74,0.65,1.66,-1,0,1.39
30,"ours1.total",8.88,12.09,11.75,9.17,5.21,47.1,-1,5.81,28.38
30,"ours2.s1",8.99,12.1,11.43,8.37,4.68,45.56,-1,0,27.4
30,"ours2.s2",0,0.01,0.22,0.75,0.72,1.7,-1,0,1.41
30,"ours2.total",8.99,12.11,11.65,9.12,5.4,47.26,-1,5.73,28.81
30,"ours3.s1",8.86,12.09,11.53,8.41,4.53,45.43,-1,0,27.34
