"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"14","0.04 (0.25, CI: -0.46, 0.54)","-0.82 (0.24, CI: -1.29, -0.34)","-1.53 (0.34, CI: -2.19, -0.86)","-1.94 (0.41, CI: -2.75, -1.14)","-2.03 (0.47, CI: -2.94, -1.11)","-2 (0.57, CI: -3.11, -0.88)","-2.1 (0.66, CI: -3.4, -0.8)","-2.43 (0.73, CI: -3.87, -0.99)","-2.84 (0.83, CI: -4.46, -1.22)","-3.16 (0.93, CI: -4.99, -1.33)","-3.26 (1.02, CI: -5.25, -1.26)","-3.16 (1.09, CI: -5.3, -1.02)","-2.95 (1.19, CI: -5.28, -0.63)","-26.71 (7.36, CI: -41.13, -12.29)","0.44",NA,""
"6","-1.6 (1.37, CI: -4.29, 1.08)","-2.53 (1.19, CI: -4.86, -0.2)","-3.41 (1.12, CI: -5.6, -1.22)","-4.21 (1.09, CI: -6.35, -2.07)","-4.97 (1.13, CI: -7.19, -2.76)","-5.78 (1.24, CI: -8.21, -3.36)","-6.64 (1.38, CI: -9.34, -3.94)","-7.44 (1.55, CI: -10.48, -4.41)","-8.07 (1.75, CI: -11.51, -4.64)","-8.42 (1.97, CI: -12.28, -4.56)","-8.49 (2.19, CI: -12.78, -4.2)","-8.36 (2.42, CI: -13.1, -3.61)","-8.07 (2.68, CI: -13.32, -2.82)","-73.18 (16.29, CI: -105.09, -41.26)","9.96",NA,""
"10","-1.12 (0.7, CI: -2.49, 0.25)","-1.96 (0.63, CI: -3.19, -0.73)","-2.66 (0.75, CI: -4.13, -1.19)","-3.14 (0.89, CI: -4.88, -1.4)","-3.56 (1.05, CI: -5.61, -1.51)","-4.11 (1.21, CI: -6.49, -1.74)","-4.85 (1.36, CI: -7.52, -2.19)","-5.61 (1.51, CI: -8.56, -2.66)","-6.17 (1.68, CI: -9.46, -2.89)","-6.36 (1.86, CI: -10.01, -2.71)","-6.15 (2.07, CI: -10.2, -2.1)","-5.64 (2.31, CI: -10.16, -1.13)","-4.93 (2.58, CI: -9.99, 0.14)","-53.25 (15.43, CI: -83.5, -23.01)","4.18",NA,""
"12","-1.94 (1.14, CI: -4.17, 0.28)","-2.73 (1.07, CI: -4.83, -0.62)","-3.48 (1.18, CI: -5.79, -1.17)","-4.18 (1.33, CI: -6.78, -1.58)","-4.89 (1.5, CI: -7.83, -1.94)","-5.67 (1.69, CI: -8.99, -2.36)","-6.55 (1.87, CI: -10.21, -2.89)","-7.37 (2.04, CI: -11.38, -3.37)","-7.99 (2.24, CI: -12.39, -3.59)","-8.26 (2.47, CI: -13.09, -3.42)","-8.19 (2.72, CI: -13.52, -2.85)","-7.85 (3.02, CI: -13.77, -1.94)","-7.34 (3.36, CI: -13.94, -0.75)","-71.8 (21.4, CI: -113.74, -29.85)","7.75",NA,""
"92","0.04 (0.17, CI: -0.28, 0.4)","-0.79 (0.19, CI: -1.18, -0.41)","-1.48 (0.32, CI: -2.11, -0.85)","-1.91 (0.43, CI: -2.75, -1.05)","-2.01 (0.54, CI: -3.04, -0.92)","-2.02 (0.65, CI: -3.29, -0.76)","-2.15 (0.73, CI: -3.56, -0.69)","-2.49 (0.78, CI: -4.01, -0.96)","-2.87 (0.84, CI: -4.42, -1.13)","-3.12 (0.9, CI: -4.82, -1.3)","-3.13 (0.95, CI: -4.97, -1.24)","-2.91 (1.02, CI: -4.84, -0.85)","-2.54 (1.11, CI: -4.79, -0.46)","-26.14 (7.42, CI: -41.37, -12.3)","0.15",NA,"Yes"
"140","0.04 (0.17, CI: -0.28, 0.39)","-0.79 (0.2, CI: -1.18, -0.41)","-1.49 (0.33, CI: -2.12, -0.83)","-1.9 (0.45, CI: -2.76, -1)","-2.01 (0.55, CI: -3.12, -0.96)","-2.02 (0.65, CI: -3.3, -0.75)","-2.15 (0.73, CI: -3.59, -0.71)","-2.48 (0.78, CI: -4.04, -0.97)","-2.87 (0.83, CI: -4.52, -1.27)","-3.14 (0.88, CI: -5.02, -1.55)","-3.15 (0.94, CI: -5.04, -1.36)","-2.9 (1, CI: -4.89, -0.97)","-2.54 (1.07, CI: -4.63, -0.44)","-26.08 (7.37, CI: -40.68, -11.78)","0.15",NA,"Yes"
"139","0.18 (0.21, CI: -0.25, 0.56)","-3.72 (0.27, CI: -4.3, -3.22)","-7.52 (0.48, CI: -8.4, -6.52)","-11.06 (0.68, CI: -12.37, -9.71)","-14.24 (0.85, CI: -15.89, -12.56)","-16.99 (1, CI: -18.92, -15.01)","-19.21 (1.11, CI: -21.42, -17.05)","-20.93 (1.2, CI: -23.24, -18.55)","-22.28 (1.28, CI: -24.83, -19.82)","-23.42 (1.35, CI: -26.16, -20.87)","-24.44 (1.4, CI: -27.19, -21.69)","-25.37 (1.46, CI: -28.18, -22.44)","-26.23 (1.53, CI: -29.2, -23.21)","-202.17 (11.37, CI: -223.85, -179.29)","0.18",NA,"Yes"
"134","0.04 (0.26, CI: -0.47, 0.56)","-0.81 (0.24, CI: -1.28, -0.36)","-1.53 (0.33, CI: -2.19, -0.89)","-1.94 (0.4, CI: -2.72, -1.14)","-2.02 (0.47, CI: -2.99, -1.14)","-1.98 (0.58, CI: -3.15, -0.86)","-2.08 (0.68, CI: -3.43, -0.75)","-2.42 (0.75, CI: -3.92, -0.97)","-2.82 (0.85, CI: -4.49, -1.15)","-3.13 (0.97, CI: -5.07, -1.27)","-3.24 (1.07, CI: -5.34, -1.16)","-3.14 (1.15, CI: -5.43, -0.94)","-2.93 (1.24, CI: -5.43, -0.56)","-26.47 (7.58, CI: -41.72, -11.99)","0.48",NA,"Yes"
"25","-0.01 (0.41, CI: -0.78, 0.84)","-4.01 (0.39, CI: -4.8, -3.26)","-7.78 (0.49, CI: -8.78, -6.87)","-11.15 (0.58, CI: -12.27, -10.01)","-14.1 (0.7, CI: -15.49, -12.74)","-16.66 (0.83, CI: -18.25, -15)","-18.84 (0.97, CI: -20.76, -16.96)","-20.69 (1.12, CI: -22.84, -18.46)","-22.22 (1.25, CI: -24.81, -19.9)","-23.49 (1.39, CI: -26.31, -20.85)","-24.53 (1.52, CI: -27.64, -21.68)","-25.39 (1.65, CI: -28.65, -22.17)","-26.14 (1.8, CI: -29.67, -22.61)","-202 (11.46, CI: -224.53, -179.61)","2.45",NA,"Yes"
"26","0.04 (0.28, CI: -0.48, 0.61)","-0.77 (0.25, CI: -1.28, -0.29)","-1.38 (0.31, CI: -1.98, -0.74)","-1.66 (0.38, CI: -2.39, -0.92)","-1.78 (0.46, CI: -2.66, -0.86)","-1.95 (0.55, CI: -2.99, -0.83)","-2.2 (0.64, CI: -3.5, -1.01)","-2.47 (0.73, CI: -3.95, -1.08)","-2.69 (0.83, CI: -4.4, -1.13)","-2.81 (0.93, CI: -4.78, -1.13)","-2.81 (1.02, CI: -4.95, -0.97)","-2.75 (1.11, CI: -4.95, -0.59)","-2.65 (1.2, CI: -5.04, -0.33)","-24.62 (7.57, CI: -39.92, -10.24)","1.53",NA,"Yes"
"86","0.04 (0.26, CI: -0.45, 0.58)","-0.82 (0.24, CI: -1.29, -0.35)","-1.53 (0.34, CI: -2.22, -0.9)","-1.95 (0.41, CI: -2.78, -1.17)","-2.03 (0.47, CI: -2.97, -1.11)","-2.01 (0.58, CI: -3.12, -0.86)","-2.12 (0.68, CI: -3.43, -0.77)","-2.45 (0.76, CI: -3.96, -0.98)","-2.85 (0.86, CI: -4.46, -1.07)","-3.18 (0.97, CI: -5.01, -1.2)","-3.28 (1.07, CI: -5.33, -1.13)","-3.2 (1.15, CI: -5.32, -0.81)","-2.99 (1.25, CI: -5.3, -0.38)","-26.87 (7.64, CI: -41.89, -11.94)","0.48",NA,"Yes"
"85","0.19 (0.38, CI: -0.55, 0.93)","-3.73 (0.37, CI: -4.44, -2.99)","-7.52 (0.5, CI: -8.44, -6.47)","-11.03 (0.61, CI: -12.16, -9.78)","-14.15 (0.7, CI: -15.51, -12.77)","-16.82 (0.84, CI: -18.37, -15.08)","-19 (0.97, CI: -20.89, -17.08)","-20.72 (1.09, CI: -22.9, -18.61)","-22.09 (1.24, CI: -24.32, -19.47)","-23.23 (1.39, CI: -25.77, -20.34)","-24.25 (1.51, CI: -27.26, -21.33)","-25.15 (1.62, CI: -28.11, -21.76)","-25.97 (1.75, CI: -29.37, -22.53)","-200.52 (11.17, CI: -221.35, -177.54)","1.01",NA,"Yes"
"37","0.18 (0.37, CI: -0.52, 0.94)","-3.73 (0.37, CI: -4.45, -3.01)","-7.5 (0.5, CI: -8.51, -6.55)","-11.02 (0.61, CI: -12.25, -9.84)","-14.13 (0.71, CI: -15.49, -12.69)","-16.81 (0.85, CI: -18.45, -15.14)","-19 (0.99, CI: -21.1, -17.23)","-20.71 (1.1, CI: -23, -18.71)","-22.08 (1.24, CI: -24.6, -19.74)","-23.23 (1.39, CI: -25.86, -20.39)","-24.26 (1.52, CI: -27.19, -21.24)","-25.15 (1.64, CI: -28.35, -21.91)","-26 (1.78, CI: -29.62, -22.66)","-200.42 (11.27, CI: -223.09, -178.9)","1.02",NA,"Yes"
"38","0.05 (0.26, CI: -0.45, 0.56)","-0.81 (0.25, CI: -1.31, -0.34)","-1.53 (0.34, CI: -2.17, -0.84)","-1.94 (0.41, CI: -2.77, -1.16)","-2.03 (0.47, CI: -2.93, -1.1)","-1.99 (0.57, CI: -3.19, -0.94)","-2.1 (0.68, CI: -3.54, -0.88)","-2.43 (0.75, CI: -3.96, -1.01)","-2.85 (0.85, CI: -4.55, -1.23)","-3.19 (0.96, CI: -5.06, -1.29)","-3.29 (1.05, CI: -5.35, -1.22)","-3.17 (1.14, CI: -5.34, -0.89)","-2.96 (1.24, CI: -5.22, -0.37)","-26.73 (7.57, CI: -41.27, -11.59)","0.47",NA,"Yes"
"61","0.19 (0.37, CI: -0.51, 0.95)","-3.73 (0.37, CI: -4.46, -3.02)","-7.51 (0.49, CI: -8.5, -6.57)","-11.01 (0.6, CI: -12.18, -9.83)","-14.14 (0.7, CI: -15.48, -12.71)","-16.82 (0.84, CI: -18.34, -15.05)","-19.01 (0.98, CI: -20.99, -17.16)","-20.73 (1.08, CI: -22.81, -18.58)","-22.08 (1.22, CI: -24.49, -19.71)","-23.22 (1.36, CI: -25.86, -20.54)","-24.24 (1.49, CI: -27.14, -21.3)","-25.14 (1.62, CI: -28.19, -21.83)","-25.98 (1.77, CI: -29.52, -22.56)","-200.5 (11.06, CI: -222.15, -178.8)","1.02",NA,"Yes"
"62","0.04 (0.26, CI: -0.48, 0.53)","-0.82 (0.24, CI: -1.3, -0.35)","-1.53 (0.33, CI: -2.17, -0.86)","-1.94 (0.41, CI: -2.73, -1.12)","-2.03 (0.47, CI: -2.92, -1.09)","-1.99 (0.58, CI: -3.17, -0.9)","-2.09 (0.68, CI: -3.46, -0.8)","-2.41 (0.76, CI: -3.94, -0.96)","-2.83 (0.85, CI: -4.47, -1.14)","-3.14 (0.96, CI: -4.95, -1.2)","-3.23 (1.04, CI: -5.22, -1.15)","-3.14 (1.11, CI: -5.36, -1.02)","-2.95 (1.22, CI: -5.45, -0.67)","-26.63 (7.48, CI: -41, -11.68)","0.49",NA,"Yes"
"121","-0.01 (0.42, CI: -0.79, 0.84)","-4.01 (0.39, CI: -4.76, -3.23)","-7.78 (0.48, CI: -8.68, -6.8)","-11.15 (0.57, CI: -12.25, -10.02)","-14.11 (0.69, CI: -15.4, -12.68)","-16.66 (0.83, CI: -18.28, -15.05)","-18.84 (0.96, CI: -20.82, -17.05)","-20.69 (1.1, CI: -22.89, -18.57)","-22.21 (1.24, CI: -24.63, -19.78)","-23.48 (1.38, CI: -26.18, -20.79)","-24.52 (1.5, CI: -27.4, -21.51)","-25.39 (1.65, CI: -28.6, -22.16)","-26.13 (1.78, CI: -29.52, -22.53)","-202.06 (11.43, CI: -223.36, -178.54)","2.45",NA,"Yes"
"43","0.18 (0.21, CI: -0.22, 0.59)","-3.71 (0.26, CI: -4.22, -3.19)","-7.48 (0.46, CI: -8.33, -6.51)","-11 (0.65, CI: -12.31, -9.78)","-14.16 (0.8, CI: -15.75, -12.62)","-16.89 (0.94, CI: -18.66, -14.95)","-19.11 (1.06, CI: -21.1, -16.93)","-20.81 (1.15, CI: -23.03, -18.53)","-22.18 (1.22, CI: -24.49, -19.73)","-23.33 (1.28, CI: -25.83, -20.81)","-24.34 (1.33, CI: -26.87, -21.66)","-25.26 (1.38, CI: -27.95, -22.54)","-26.13 (1.44, CI: -28.91, -23.26)","-201.16 (10.86, CI: -222.44, -179.87)","0.19",NA,"Yes"
"44","0.04 (0.17, CI: -0.28, 0.4)","-0.8 (0.2, CI: -1.19, -0.41)","-1.51 (0.33, CI: -2.18, -0.89)","-1.93 (0.45, CI: -2.82, -1.05)","-2.05 (0.55, CI: -3.12, -0.96)","-2.06 (0.66, CI: -3.28, -0.71)","-2.19 (0.74, CI: -3.63, -0.72)","-2.53 (0.78, CI: -4.08, -1)","-2.93 (0.84, CI: -4.56, -1.28)","-3.2 (0.89, CI: -4.97, -1.48)","-3.19 (0.94, CI: -5.03, -1.35)","-2.96 (0.99, CI: -4.95, -1.07)","-2.61 (1.07, CI: -4.71, -0.52)","-26.54 (7.35, CI: -40.95, -12.15)","0.15",NA,"Yes"
